,rate_function,cpu_usage_node,ram_usage_node,ram_usage_node_percentage,power_usage_node,overloaded_node,node_type
64062,180.0,126.617,3770685269.3333300,42.67255555555560,463803.0,0,2
64063,180.0,123.817,3765887943.111110,42.618,458594.25,0,2
64064,180.0,144.34933333333300,3977733461.3333300,45.28311111111110,514427.32222222200,0,2
64065,180.0,144.133,3992999526.4,45.48733333333330,508130.5,0,2
64066,180.0,142.782,3984510156.8,45.336,499263.8,0,2
64067,190.0,118.017,3781767680.0,42.898,448504.3333333330,0,2
64068,190.0,119.417,3767361536.0,42.725,454393.25,0,2
64069,190.0,119.645,3766095018.6666700,42.708,462378.11111111100,0,2
64070,190.0,150.971,4166589781.333,47.643,601274.917,1,2
64071,190.0,148.65033333333300,4158901771.3776700,47.15977777777780,594026.6056666670,1,2
64072,190.0,150.167,4202917493.5702200,47.71533333333330,612106.3408888890,1,2
64073,200.0,115.857,3667089408.0,42.322,396870.25,0,2
64074,200.0,156.5972222222220,4204696310.5183300,49.13477777777780,642734.3333333330,1,2
64075,200.0,157.711,4207425877.333,49.206,654873.0834444450,1,2
64076,200.0,157.789,4219938816.0,49.311,646006.25,1,2
64077,0.0,83.20533333333330,3662753052.4444400,42.46055555555560,257495.58333333300,0,2
64078,0.0,83.2,3659788800.0,42.421,261492.81944444400,0,2
64079,0.0,117.44633333333300,3664521728.0,42.487,426557.8055555560,0,2
64080,0.0,142.293,3891324108.8,45.194,633006.3,0,2
64081,0.0,162.303,4034627486.4763300,47.045222222222200,806576.9758888890,1,2
64082,0.0,161.81,4036859318.857,47.074,807718.357,1,2
64083,10.0,88.1,3697546012.4444400,42.92677777777780,257305.9861111110,0,2
64084,10.0,87.15388888888890,3690838528.0,42.84,239746.25,0,2
64085,10.0,87.792,3684923904.0,42.771,224926.0,0,2
64086,10.0,123.88333333333300,3706831701.3333300,43.04288888888890,460037.36111111100,0,2
